Date,Open,High,Low,Close,Adj Close,Volume
2022-12-30,1.883000,1.883000,1.883000,1.883000,1.883000,0
2023-01-03,1.880000,1.880000,1.880000,1.880000,1.880000,0
2023-01-04,1.878000,1.878000,1.878000,1.878000,1.878000,0
2023-01-05,1.904000,1.904000,1.904000,1.904000,1.904000,0
2023-01-06,1.892000,1.892000,1.892000,1.892000,1.892000,0
2023-01-09,1.907000,1.907000,1.907000,1.907000,1.907000,0
2023-01-10,1.883000,1.883000,1.883000,1.883000,1.883000,0
2023-01-11,1.886000,1.886000,1.886000,1.886000,1.886000,0
2023-01-12,1.885000,1.885000,1.885000,1.885000,1.885000,0
2023-01-13,1.900000,1.900000,1.900000,1.900000,1.900000,0
2023-01-16,1.893000,1.893000,1.893000,1.893000,1.893000,0
2023-01-17,1.892000,1.892000,1.892000,1.892000,1.892000,0
2023-01-18,1.898000,1.898000,1.898000,1.898000,1.898000,0
2023-01-19,1.890000,1.890000,1.890000,1.890000,1.890000,0
2023-01-20,1.900000,1.900000,1.900000,1.900000,1.900000,0
2023-01-25,1.933000,1.933000,1.933000,1.933000,1.933000,0
2023-01-26,1.949000,1.949000,1.949000,1.949000,1.949000,0
2023-01-27,1.958000,1.958000,1.958000,1.958000,1.958000,0
2023-01-30,1.949000,1.949000,1.949000,1.949000,1.949000,0
2023-01-31,1.943000,1.943000,1.943000,1.943000,1.943000,0
2023-02-01,1.952000,1.952000,1.952000,1.952000,1.952000,0
2023-02-02,1.945000,1.945000,1.945000,1.945000,1.945000,0
2023-02-03,1.955000,1.955000,1.955000,1.955000,1.955000,0
2023-02-06,1.954000,1.954000,1.954000,1.954000,1.954000,0
2023-02-07,1.953000,1.953000,1.953000,1.953000,1.953000,0
2023-02-08,1.958000,1.958000,1.958000,1.958000,1.958000,0
2023-02-09,1.942000,1.942000,1.942000,1.942000,1.942000,0
2023-02-10,1.943000,1.943000,1.943000,1.943000,1.943000,0
2023-02-13,1.923000,1.923000,1.923000,1.923000,1.923000,0
2023-02-14,1.919000,1.919000,1.919000,1.919000,1.919000,0
2023-02-15,1.898000,1.898000,1.898000,1.898000,1.898000,0
2023-02-16,1.916000,1.916000,1.916000,1.916000,1.916000,0
2023-02-17,null,null,null,null,null,null
2023-02-20,1.914000,1.914000,1.914000,1.914000,1.914000,0
2023-02-21,1.911000,1.911000,1.911000,1.911000,1.911000,0
2023-02-22,1.909000,1.909000,1.909000,1.909000,1.909000,0
2023-02-23,1.888000,1.888000,1.888000,1.888000,1.888000,0
2023-02-24,1.898000,1.898000,1.898000,1.898000,1.898000,0
2023-02-27,1.885000,1.885000,1.885000,1.885000,1.885000,0
2023-02-28,1.882000,1.882000,1.882000,1.882000,1.882000,0
